property_id,square_feet,bedrooms,bathrooms,location_type,property_age_years,garage_spaces,has_garden,distance_to_city_center_km,school_rating,price_in_lakhs
PROP-1001,3824,5,4,Suburban,12,1,Yes,11.1,9.0,152.95
PROP-1002,4157,5,4,Suburban,4,1,Yes,16.4,7.2,166.17
PROP-1003,1510,4,3,Suburban,3,2,Yes,11.4,8.3,74.66
PROP-1004,1944,2,1,Urban,27,3,No,6.9,4.1,85.04
PROP-1005,1780,3,3,Suburban,13,2,Yes,17.5,7.9,78.64
PROP-1006,1745,1,1,Suburban,7,3,Yes,9.9,6.8,73.7
PROP-1007,3742,4,3,Suburban,8,0,Yes,16.6,8.2,139.97
PROP-1008,2288,3,2,Urban,34,0,Yes,6.1,8.3,104.4
PROP-1009,2819,3,2,Rural,20,2,Yes,18.6,6.9,80.23
PROP-1010,1116,2,1,Suburban,17,2,Yes,13.5,5.8,41.74
PROP-1011,1888,3,2,Urban,32,1,Yes,1.4,8.0,101.05
PROP-1012,980,1,1,Suburban,7,1,Yes,16.0,6.7,37.24
PROP-1013,2132,3,2,Rural,16,2,Yes,18.0,5.4,54.36
PROP-1014,2785,4,3,Urban,30,0,No,1.4,5.3,124.75
PROP-1015,4094,5,4,Rural,33,1,Yes,21.8,4.4,103.2
PROP-1016,3821,5,3,Suburban,5,1,Yes,12.9,6.0,148.65
PROP-1017,3569,5,3,Suburban,21,1,No,16.3,8.6,125.61
PROP-1018,780,1,1,Urban,13,2,No,6.8,7.1,35.1
PROP-1019,2335,4,3,Urban,2,1,No,3.6,6.0,114.71
PROP-1020,4030,5,4,Rural,11,2,No,16.0,8.1,125.61
PROP-1021,1419,2,2,Urban,11,1,No,5.5,5.5,67.4
PROP-1022,3041,4,3,Suburban,1,1,Yes,12.8,7.0,124.36
PROP-1023,2165,3,2,Urban,1,2,No,3.7,6.5,111.64
PROP-1024,4135,5,4,Urban,14,1,No,2.9,8.0,198.37
PROP-1025,3503,5,4,Urban,22,0,No,4.0,4.3,164.88
PROP-1026,3083,4,3,Suburban,28,0,No,10.1,5.4,113.29
PROP-1027,1865,3,2,Rural,16,1,No,27.9,4.2,41.92
PROP-1028,1605,2,2,Urban,31,1,No,4.3,6.4,68.25
PROP-1029,2974,4,4,Urban,6,2,No,6.3,8.7,148.92
PROP-1030,1834,2,2,Urban,29,2,No,4.3,6.0,79.52
PROP-1031,1109,2,2,Suburban,27,2,Yes,8.9,6.0,43.43
PROP-1032,4035,5,3,Suburban,13,1,Yes,16.2,8.2,159.38
PROP-1033,671,1,1,Rural,29,1,Yes,24.5,8.5,15.0
PROP-1034,2950,4,4,Suburban,16,1,Yes,8.5,6.7,120.61
PROP-1035,1397,3,2,Suburban,31,0,Yes,13.5,7.9,50.38
PROP-1036,3554,4,3,Urban,5,0,No,3.1,5.1,171.64
PROP-1037,1124,1,1,Rural,23,1,Yes,29.4,9.0,19.4
PROP-1038,1732,2,1,Urban,5,3,Yes,3.7,10.0,99.37
PROP-1039,3208,4,3,Urban,26,0,No,5.4,7.6,145.48
PROP-1040,2697,5,3,Suburban,17,0,Yes,7.1,3.5,102.44
PROP-1041,4197,5,4,Suburban,23,2,No,10.8,5.9,158.3
PROP-1042,3397,4,3,Suburban,23,1,No,17.8,7.8,127.36
PROP-1043,1625,3,2,Suburban,33,2,Yes,15.7,6.1,51.63
PROP-1044,2456,2,1,Suburban,14,2,Yes,7.9,8.8,99.09
PROP-1045,839,2,1,Urban,10,3,No,2.7,7.7,55.04
PROP-1046,3655,4,3,Suburban,21,1,Yes,10.0,5.7,139.16
PROP-1047,3384,5,3,Suburban,23,2,Yes,13.8,6.9,133.49
PROP-1048,3655,4,3,Suburban,0,1,Yes,15.1,5.4,143.71
PROP-1049,1212,1,1,Suburban,17,2,Yes,15.0,6.5,47.41
PROP-1050,2549,3,2,Urban,11,1,No,4.1,5.9,117.78
PROP-1051,1917,3,2,Suburban,27,0,Yes,15.7,8.7,62.94
PROP-1052,3529,5,3,Suburban,6,1,No,11.2,10.0,142.04
PROP-1053,2178,3,2,Urban,22,1,Yes,1.7,4.5,96.23
PROP-1054,3852,5,4,Suburban,20,2,No,12.8,3.7,146.11
PROP-1055,1296,3,2,Rural,33,2,Yes,31.2,6.4,30.46
PROP-1056,2718,4,3,Suburban,10,2,No,15.5,4.4,99.93
PROP-1057,3538,5,4,Rural,21,0,Yes,24.8,6.9,97.95
PROP-1058,2864,4,3,Urban,34,2,No,4.9,8.0,135.46
PROP-1059,1947,2,2,Urban,28,1,No,6.6,9.2,89.38
PROP-1060,3085,4,2,Urban,27,2,No,3.6,7.1,146.42
PROP-1061,1250,1,1,Suburban,17,3,No,10.0,6.5,47.4
PROP-1062,3013,5,3,Urban,13,0,No,6.9,3.6,139.68
